dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,DLinear-t,3904838.167667798,3932095.999071414,888.4449495444126,3.176536952468546,0.18140384356042458,0.1475419600493314,27.75084214974181,1976.0663368591142,0.3168713972307171,0.1424662660729205,0.11382982825412331,Econ/Fin,1
ett1/W/short,DLinear-t,1522067.4285714286,1407393.4285714286,881.6071428571429,1.4938711606321746,0.7265519414629255,0.4996833460671561,11.74927709394224,1233.720968684341,0.49092701958183776,0.35081252412080366,0.28585137063016375,Energy,7
bizitobs_l2c/H/short,DLinear-t,202.54727802579364,201.48209635416666,9.368636842757937,0.9660784952139354,1.008665382147407,0.8879055447048612,6.048817663583894,14.231910554306953,0.7671364274300051,0.5049935193182803,0.39439945724323217,Web/CloudOps,7
bizitobs_l2c/H/medium,DLinear-t,79.88141741071429,79.51923363095239,5.472095889136905,0.5630277118943787,0.7081530165189214,0.7938737415132069,7.274552932487355,8.937640483411396,0.5411877067668762,0.3313437177235963,0.27564804644513063,Web/CloudOps,7
bizitobs_l2c/H/long,DLinear-t,150.26200396825396,149.6405505952381,8.570056733630953,0.8991490985687569,0.9983326579156916,0.9268221416170634,8.625556281748429,12.258140314429998,0.7487625895770206,0.5234837999971027,0.42872015537290675,Web/CloudOps,7
ett2/D/short,DLinear-t,160890.15873015873,157984.43174603174,244.0282738095238,1.5453619984086424,0.4726498074001736,0.156766352577815,13.839353880202234,401.1111550806817,0.2295664970135278,0.13966381957001936,0.1142509938767364,Energy,7
solar/W/short,DLinear-t,3647537.98540146,3715585.401459854,1540.290602189781,1.6946840867374993,0.35544853488894274,0.2843065470674612,8.781631216649423,1909.8528700927357,0.3898487194642013,0.3144118210725167,0.24581543560613792,Energy,1
jena_weather/D/short,DLinear-t,481.4686507936508,488.8543650793651,11.636949714781746,1.362766725620895,1.375025198947758,0.45371781606522815,9.536989601262418,21.94239391665483,0.1321290745582022,0.07007345699538214,0.056877636747657855,Nature,21
saugeen/M/short,DLinear-t,575.943591889881,564.377185639881,15.273354666573661,0.8945246363597436,0.4456084115164621,0.4577419644310361,7.840506028184417,23.998824802266483,0.7205167163641348,0.4585519267253949,0.3725345902423382,Nature,1
kdd_cup_2018/H/short,DLinear-t,4559.008095904657,4562.94850434195,25.210838323796693,1.0400422359619999,1.0890390996498078,0.538265201572805,9.75529863684,67.52042724912704,1.4133248194015566,0.5277085020430239,0.429210562956086,Nature,1
